,num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,flight_hour_range
14540,1,Internet,RoundTrip,6,20,0,3,ICNSYD,Australia,1,0,1,8.58,1,Brief
14541,2,Internet,RoundTrip,61,42,6,7,ICNSYD,Australia,1,1,1,8.58,0,Brief
14542,1,Internet,RoundTrip,12,31,12,2,ICNSYD,Australia,0,0,0,8.58,0,Brief
14543,1,Internet,RoundTrip,179,20,3,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14544,1,Internet,RoundTrip,72,30,7,7,ICNSYD,Australia,1,0,0,8.58,0,Brief
14545,2,Internet,RoundTrip,43,17,0,2,ICNSYD,Australia,1,1,1,8.58,0,Brief
14546,1,Internet,RoundTrip,26,21,15,7,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14547,1,Internet,RoundTrip,24,21,8,2,ICNSYD,South Korea,0,0,1,8.58,0,Brief
14548,1,Internet,RoundTrip,38,18,5,1,ICNSYD,Australia,1,0,1,8.58,0,Brief
14549,3,Internet,RoundTrip,48,20,15,3,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14550,1,Internet,RoundTrip,86,22,14,2,ICNSYD,Australia,1,0,1,8.58,1,Brief
14551,1,Internet,RoundTrip,27,25,2,1,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14552,1,Internet,RoundTrip,51,46,2,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14553,1,Internet,RoundTrip,117,167,7,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14554,1,Internet,RoundTrip,9,90,6,7,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14555,1,Internet,RoundTrip,20,22,7,3,ICNSYD,Australia,1,1,0,8.58,0,Brief
14556,1,Internet,RoundTrip,13,20,23,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14557,2,Internet,RoundTrip,115,19,1,6,ICNSYD,Australia,1,0,0,8.58,0,Brief
14558,1,Internet,RoundTrip,328,23,1,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14559,1,Internet,RoundTrip,14,28,8,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14560,4,Internet,RoundTrip,219,29,4,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14561,2,Internet,RoundTrip,246,19,22,3,ICNSYD,Australia,1,0,0,8.58,0,Brief
14562,1,Internet,RoundTrip,123,21,1,6,ICNSYD,Australia,1,0,0,8.58,0,Brief
14563,1,Internet,RoundTrip,11,29,5,1,ICNSYD,Australia,1,0,1,8.58,0,Brief
14564,1,Internet,RoundTrip,52,91,2,2,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14565,1,Internet,RoundTrip,49,31,3,5,ICNSYD,Australia,1,0,1,8.58,0,Brief
14566,2,Internet,RoundTrip,40,18,14,6,ICNSYD,Australia,1,0,1,8.58,0,Brief
14567,1,Internet,RoundTrip,58,44,12,6,ICNSYD,New Zealand,1,0,0,8.58,0,Brief
14568,2,Internet,RoundTrip,109,20,13,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14569,1,Internet,RoundTrip,77,30,0,6,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14570,2,Mobile,RoundTrip,67,21,15,5,ICNSYD,Australia,1,1,1,8.58,0,Brief
14571,1,Internet,RoundTrip,14,35,10,2,ICNSYD,Australia,0,0,0,8.58,0,Brief
14572,2,Internet,RoundTrip,37,22,3,3,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14573,1,Mobile,RoundTrip,12,23,11,4,ICNSYD,Australia,1,0,1,8.58,0,Brief
14574,2,Internet,RoundTrip,149,26,2,3,ICNSYD,Australia,1,0,0,8.58,0,Brief
14575,1,Internet,RoundTrip,45,29,14,3,ICNSYD,Australia,1,0,1,8.58,0,Brief
14576,1,Internet,RoundTrip,8,20,12,3,ICNSYD,Australia,1,0,1,8.58,0,Brief
14577,1,Internet,RoundTrip,117,60,3,5,ICNSYD,South Korea,0,1,0,8.58,0,Brief
14578,2,Internet,RoundTrip,99,27,12,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14579,2,Internet,RoundTrip,0,20,1,5,ICNSYD,Australia,1,1,0,8.58,0,Brief
14580,1,Internet,RoundTrip,6,306,6,3,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14581,1,Mobile,RoundTrip,16,91,23,3,ICNSYD,Australia,1,1,0,8.58,0,Brief
14582,2,Internet,RoundTrip,129,36,13,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14583,1,Internet,RoundTrip,27,79,18,7,ICNSYD,South Korea,0,1,0,8.58,0,Brief
14585,2,Internet,RoundTrip,175,29,10,3,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14586,1,Internet,RoundTrip,89,24,9,3,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14587,1,Internet,RoundTrip,26,52,3,4,ICNSYD,Australia,0,0,1,8.58,0,Brief
14588,2,Internet,RoundTrip,233,27,15,2,ICNSYD,South Korea,0,0,1,8.58,0,Brief
14589,1,Internet,RoundTrip,53,31,7,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14590,1,Internet,RoundTrip,10,31,2,3,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14591,2,Internet,RoundTrip,91,25,12,2,ICNSYD,Australia,1,0,1,8.58,0,Brief
14592,1,Mobile,RoundTrip,2,67,7,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14593,1,Internet,RoundTrip,24,88,13,5,ICNSYD,Australia,0,0,0,8.58,0,Brief
14594,1,Internet,RoundTrip,273,17,10,7,ICNSYD,Australia,1,0,1,8.58,0,Brief
14595,1,Internet,RoundTrip,19,364,14,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14596,5,Internet,RoundTrip,179,36,11,5,ICNSYD,Australia,1,0,1,8.58,0,Brief
14597,1,Internet,RoundTrip,62,364,5,2,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14598,1,Internet,RoundTrip,76,42,1,5,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14599,1,Internet,OneWay,302,20,13,1,ICNSYD,South Korea,0,0,1,8.58,0,Brief
14600,2,Internet,OneWay,30,19,12,2,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14601,1,Mobile,RoundTrip,1,31,3,7,ICNSYD,Australia,0,0,1,8.58,0,Brief
14602,1,Internet,RoundTrip,142,115,5,1,ICNSYD,Australia,0,0,0,8.58,0,Brief
14603,1,Internet,RoundTrip,25,22,11,5,ICNSYD,Australia,1,0,1,8.58,0,Brief
14604,1,Internet,RoundTrip,5,69,0,4,ICNSYD,Australia,1,0,0,8.58,0,Brief
14605,1,Internet,RoundTrip,63,19,7,7,ICNSYD,Australia,1,0,0,8.58,0,Brief
14606,1,Internet,RoundTrip,9,18,7,6,ICNSYD,Australia,1,0,0,8.58,0,Brief
14607,1,Internet,OneWay,30,25,3,2,ICNSYD,South Korea,1,1,0,8.58,0,Brief
14608,1,Internet,RoundTrip,380,18,10,7,ICNSYD,Australia,0,0,0,8.58,0,Brief
14609,1,Internet,RoundTrip,107,24,23,3,ICNSYD,Australia,1,0,1,8.58,0,Brief
14610,1,Internet,RoundTrip,47,23,16,5,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14611,2,Mobile,RoundTrip,81,20,16,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14612,1,Internet,RoundTrip,22,33,1,3,ICNSYD,Australia,1,1,0,8.58,0,Brief
14613,3,Internet,RoundTrip,19,20,4,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14614,1,Internet,RoundTrip,19,35,10,7,ICNSYD,Australia,1,1,1,8.58,0,Brief
14615,1,Internet,RoundTrip,86,141,11,2,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14616,3,Internet,RoundTrip,35,32,5,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14617,1,Internet,RoundTrip,18,33,10,3,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14618,1,Internet,RoundTrip,91,86,4,6,ICNSYD,Australia,1,0,0,8.58,0,Brief
14619,1,Internet,RoundTrip,72,19,12,7,ICNSYD,Australia,0,0,1,8.58,0,Brief
14620,1,Internet,RoundTrip,25,25,9,7,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14621,1,Internet,RoundTrip,19,29,5,6,ICNSYD,Australia,1,0,1,8.58,0,Brief
14622,1,Internet,RoundTrip,29,21,8,4,ICNSYD,Australia,0,1,0,8.58,0,Brief
14623,2,Internet,RoundTrip,189,21,11,1,ICNSYD,Australia,1,1,1,8.58,0,Brief
14624,1,Internet,RoundTrip,27,21,8,2,ICNSYD,Australia,1,0,1,8.58,0,Brief
14625,1,Internet,RoundTrip,18,27,9,5,ICNSYD,Australia,1,1,1,8.58,0,Brief
14626,1,Internet,RoundTrip,24,19,14,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14627,1,Internet,RoundTrip,68,21,14,5,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14628,2,Internet,RoundTrip,82,18,12,6,ICNSYD,Australia,1,0,0,8.58,0,Brief
14629,3,Internet,RoundTrip,174,27,11,7,ICNSYD,Australia,1,1,1,8.58,0,Brief
14630,1,Internet,RoundTrip,62,28,10,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14631,1,Internet,OneWay,262,27,8,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14632,3,Internet,RoundTrip,14,24,9,1,ICNSYD,Australia,1,1,1,8.58,0,Brief
14633,1,Internet,RoundTrip,52,18,8,3,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14634,1,Internet,RoundTrip,57,41,10,2,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14635,1,Internet,RoundTrip,4,31,6,7,ICNSYD,Australia,1,0,0,8.58,0,Brief
14636,1,Internet,RoundTrip,20,33,1,5,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14637,1,Internet,RoundTrip,5,28,10,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14638,2,Internet,CircleTrip,234,32,13,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14639,1,Mobile,RoundTrip,32,17,5,3,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14640,1,Internet,RoundTrip,61,35,0,4,ICNSYD,Australia,1,1,0,8.58,0,Brief
14641,1,Internet,RoundTrip,10,271,0,2,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14642,1,Internet,CircleTrip,259,58,8,6,ICNSYD,Australia,1,0,1,8.58,0,Brief
14643,1,Internet,RoundTrip,27,199,5,2,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14644,1,Internet,RoundTrip,7,27,10,2,ICNSYD,Australia,1,0,0,8.58,0,Brief
14645,2,Internet,RoundTrip,78,28,10,4,ICNSYD,Australia,1,0,0,8.58,1,Brief
14646,1,Internet,RoundTrip,208,28,14,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14647,1,Internet,RoundTrip,25,18,9,6,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14648,1,Internet,RoundTrip,37,26,8,2,ICNSYD,Russia,0,0,0,8.58,0,Brief
14649,1,Mobile,RoundTrip,14,42,12,5,ICNSYD,Australia,1,1,0,8.58,0,Brief
14650,1,Internet,RoundTrip,57,43,12,3,ICNSYD,Australia,1,1,1,8.58,0,Brief
14651,1,Internet,RoundTrip,22,42,15,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14652,2,Internet,RoundTrip,29,31,5,6,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14653,2,Internet,RoundTrip,52,21,10,1,ICNSYD,Australia,1,1,0,8.58,0,Brief
14654,1,Internet,RoundTrip,72,21,5,5,ICNSYD,Australia,1,0,0,8.58,0,Brief
14655,1,Internet,RoundTrip,66,23,7,3,ICNSYD,South Korea,1,1,0,8.58,0,Brief
14656,1,Internet,RoundTrip,42,86,4,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14657,2,Internet,RoundTrip,38,18,15,1,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14658,1,Mobile,RoundTrip,18,91,5,5,ICNSYD,South Korea,1,1,0,8.58,0,Brief
14659,1,Internet,RoundTrip,46,49,3,4,ICNSYD,Australia,1,1,1,8.58,0,Brief
14660,1,Internet,RoundTrip,7,31,7,2,ICNSYD,Australia,1,0,0,8.58,0,Brief
14661,1,Internet,RoundTrip,43,25,5,2,ICNSYD,Australia,1,1,1,8.58,0,Brief
14662,1,Internet,RoundTrip,11,33,12,6,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14663,1,Internet,RoundTrip,93,44,11,7,ICNSYD,South Korea,0,1,1,8.58,0,Brief
14664,2,Internet,RoundTrip,17,22,3,3,ICNSYD,Australia,1,0,0,8.58,0,Brief
14665,1,Internet,RoundTrip,26,29,14,3,ICNSYD,South Korea,1,1,0,8.58,0,Brief
14666,2,Internet,RoundTrip,34,321,8,2,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14667,2,Internet,RoundTrip,46,36,22,4,ICNSYD,Australia,1,0,0,8.58,0,Brief
14668,1,Internet,RoundTrip,376,31,19,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14669,1,Mobile,RoundTrip,16,21,1,6,ICNSYD,Australia,1,1,1,8.58,0,Brief
14670,2,Internet,RoundTrip,101,34,14,4,ICNSYD,Denmark,0,0,0,8.58,0,Brief
14671,2,Internet,RoundTrip,49,30,20,4,ICNSYD,Australia,1,0,1,8.58,0,Brief
14672,1,Internet,RoundTrip,62,20,13,2,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14673,2,Internet,RoundTrip,4,22,10,3,ICNSYD,Australia,1,1,0,8.58,0,Brief
14674,1,Internet,RoundTrip,24,22,1,3,ICNSYD,Australia,1,0,0,8.58,0,Brief
14675,1,Internet,RoundTrip,50,58,11,5,ICNSYD,Australia,0,0,0,8.58,0,Brief
14676,2,Internet,RoundTrip,22,122,2,7,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14677,1,Internet,RoundTrip,45,68,5,6,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14678,1,Internet,RoundTrip,30,17,5,5,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14679,2,Internet,RoundTrip,21,18,1,6,ICNSYD,Australia,1,1,1,8.58,0,Brief
14680,1,Internet,RoundTrip,6,82,11,5,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14681,1,Internet,RoundTrip,4,38,0,3,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14682,1,Internet,RoundTrip,78,27,13,3,ICNSYD,Australia,0,0,0,8.58,0,Brief
14683,1,Internet,RoundTrip,130,28,8,5,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14684,7,Mobile,RoundTrip,296,21,22,7,ICNSYD,Australia,0,0,1,8.58,0,Brief
14685,1,Internet,RoundTrip,4,26,12,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14686,1,Internet,RoundTrip,71,21,14,2,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14687,1,Internet,RoundTrip,44,35,8,6,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14688,1,Internet,RoundTrip,272,18,11,7,ICNSYD,Australia,1,0,1,8.58,0,Brief
14689,1,Internet,RoundTrip,52,31,8,5,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14690,3,Internet,RoundTrip,37,21,1,1,ICNSYD,Australia,1,0,1,8.58,0,Brief
14691,1,Internet,RoundTrip,23,19,11,2,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14692,1,Internet,RoundTrip,85,23,11,1,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14693,1,Internet,RoundTrip,18,57,5,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14694,2,Internet,RoundTrip,382,17,10,2,ICNSYD,Australia,1,0,0,8.58,0,Brief
14696,1,Mobile,RoundTrip,2,20,8,6,ICNSYD,Australia,0,1,0,8.58,0,Brief
14697,1,Internet,RoundTrip,22,31,10,2,ICNSYD,Australia,1,1,0,8.58,0,Brief
14698,1,Internet,RoundTrip,18,78,15,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14699,2,Internet,RoundTrip,51,35,6,7,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14700,1,Internet,RoundTrip,78,32,10,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14701,1,Internet,RoundTrip,242,23,11,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14702,2,Internet,RoundTrip,58,17,11,3,ICNSYD,Australia,1,0,0,8.58,0,Brief
14703,2,Internet,RoundTrip,136,21,5,3,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14704,1,Internet,RoundTrip,36,20,15,3,ICNSYD,Australia,1,0,0,8.58,0,Brief
14705,1,Internet,RoundTrip,333,18,5,6,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14706,1,Internet,RoundTrip,11,22,7,1,ICNSYD,Australia,1,1,1,8.58,0,Brief
14707,1,Internet,RoundTrip,11,22,5,5,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14708,1,Internet,RoundTrip,18,26,1,2,ICNSYD,Australia,1,1,1,8.58,0,Brief
14709,1,Internet,RoundTrip,4,43,10,7,ICNSYD,Australia,1,0,0,8.58,0,Brief
14710,1,Internet,RoundTrip,2,46,2,2,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14711,1,Internet,RoundTrip,58,21,13,7,ICNSYD,South Korea,0,0,1,8.58,0,Brief
14712,1,Internet,RoundTrip,44,17,6,2,ICNSYD,Australia,0,0,0,8.58,0,Brief
14713,1,Internet,RoundTrip,31,182,10,5,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14714,1,Internet,RoundTrip,51,85,13,5,ICNSYD,Australia,1,0,1,8.58,0,Brief
14715,2,Internet,RoundTrip,49,48,12,1,ICNSYD,Australia,1,0,0,8.58,0,Brief
14716,1,Internet,RoundTrip,40,39,9,2,ICNSYD,Australia,0,1,0,8.58,0,Brief
14717,1,Internet,RoundTrip,24,85,13,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14718,1,Internet,RoundTrip,49,29,14,6,ICNSYD,Australia,1,1,1,8.58,0,Brief
14719,1,Internet,RoundTrip,7,37,14,1,ICNSYD,Australia,1,0,1,8.58,0,Brief
14720,1,Internet,RoundTrip,123,27,23,5,ICNSYD,Australia,1,1,1,8.58,0,Brief
14721,2,Internet,RoundTrip,147,19,12,4,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14722,1,Internet,RoundTrip,118,25,19,2,ICNSYD,United Kingdom,1,0,0,8.58,0,Brief
14723,1,Internet,RoundTrip,29,35,10,4,ICNSYD,Australia,1,1,0,8.58,0,Brief
14724,1,Internet,RoundTrip,4,259,23,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14725,1,Internet,RoundTrip,38,38,15,1,ICNSYD,South Korea,0,1,1,8.58,0,Brief
14726,1,Internet,RoundTrip,47,28,15,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14727,1,Internet,OneWay,51,32,15,3,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14728,1,Internet,RoundTrip,18,181,5,7,ICNSYD,Australia,1,0,0,8.58,0,Brief
14729,1,Internet,RoundTrip,136,28,1,1,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14730,2,Internet,RoundTrip,79,32,11,3,ICNSYD,Australia,1,1,1,8.58,0,Brief
14731,2,Internet,RoundTrip,56,34,10,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14732,3,Internet,RoundTrip,24,67,8,1,ICNSYD,South Korea,0,0,1,8.58,0,Brief
14733,2,Internet,CircleTrip,44,25,3,3,ICNSYD,Australia,1,1,0,8.58,0,Brief
14734,1,Internet,RoundTrip,55,48,15,1,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14735,2,Internet,RoundTrip,87,21,15,3,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14736,1,Internet,RoundTrip,22,27,7,7,ICNSYD,Australia,1,0,0,8.58,0,Brief
14737,1,Internet,RoundTrip,30,32,5,7,ICNSYD,Australia,0,0,1,8.58,0,Brief
14738,1,Internet,RoundTrip,10,23,9,4,ICNSYD,Australia,0,0,0,8.58,0,Brief
14739,2,Internet,RoundTrip,42,24,11,2,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14740,1,Internet,RoundTrip,11,27,8,1,ICNSYD,Australia,1,1,0,8.58,0,Brief
14741,1,Internet,RoundTrip,4,29,6,3,ICNSYD,South Korea,0,0,1,8.58,0,Brief
14742,1,Internet,RoundTrip,40,18,2,3,ICNSYD,Australia,1,0,1,8.58,0,Brief
14743,2,Internet,RoundTrip,77,31,5,1,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14744,1,Internet,RoundTrip,32,62,9,7,ICNSYD,Australia,1,1,1,8.58,0,Brief
14745,1,Internet,RoundTrip,14,21,13,6,ICNSYD,Australia,1,1,1,8.58,0,Brief
14746,1,Internet,RoundTrip,110,28,11,7,ICNSYD,Australia,0,1,0,8.58,0,Brief
14747,1,Internet,RoundTrip,284,24,5,7,ICNSYD,Australia,0,1,0,8.58,0,Brief
14748,1,Internet,RoundTrip,91,19,14,4,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14749,1,Internet,RoundTrip,142,363,3,4,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14750,1,Internet,RoundTrip,94,37,11,6,ICNSYD,Australia,1,1,0,8.58,0,Brief
14751,1,Mobile,RoundTrip,8,18,7,7,ICNSYD,Japan,1,1,1,8.58,0,Brief
14752,1,Internet,RoundTrip,0,19,0,4,ICNSYD,Australia,1,0,1,8.58,0,Brief
14753,1,Internet,RoundTrip,25,63,12,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14754,2,Internet,OneWay,83,20,9,2,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14755,1,Internet,RoundTrip,22,49,10,4,ICNSYD,South Korea,1,1,0,8.58,0,Brief
14756,1,Internet,RoundTrip,193,19,4,1,ICNSYD,Australia,0,0,0,8.58,0,Brief
14757,1,Internet,RoundTrip,26,260,5,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14758,2,Internet,RoundTrip,38,37,6,5,ICNSYD,Australia,1,0,0,8.58,0,Brief
14759,1,Internet,RoundTrip,21,55,4,5,ICNSYD,South Korea,1,0,1,8.58,0,Brief
14760,1,Internet,RoundTrip,92,85,14,7,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14761,2,Internet,RoundTrip,83,33,10,7,ICNSYD,Australia,1,0,1,8.58,0,Brief
14762,1,Internet,RoundTrip,75,36,0,1,ICNSYD,South Korea,0,0,0,8.58,0,Brief
14763,1,Internet,OneWay,24,19,0,3,ICNSYD,South Korea,1,0,0,8.58,0,Brief
14764,1,Internet,RoundTrip,10,50,6,5,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14765,1,Internet,RoundTrip,59,17,7,4,ICNSYD,South Korea,1,1,1,8.58,0,Brief
14766,1,Internet,RoundTrip,49,26,6,3,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14767,4,Internet,RoundTrip,30,20,13,4,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14768,1,Internet,RoundTrip,55,96,8,6,ICNTRZ,India,0,1,1,6.62,0,Brief
14769,2,Internet,RoundTrip,58,37,2,3,ICNTRZ,South Korea,1,0,1,6.62,0,Brief
14770,4,Internet,RoundTrip,35,21,1,6,ICNTRZ,South Korea,1,1,1,6.62,0,Brief
14771,1,Internet,RoundTrip,52,17,3,1,ICNTRZ,South Korea,0,0,0,6.62,0,Brief
14772,1,Internet,RoundTrip,52,46,12,1,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14773,1,Internet,RoundTrip,5,42,7,5,ICNTRZ,South Korea,1,0,1,6.62,0,Brief
14774,2,Internet,RoundTrip,98,24,11,3,ICNTRZ,South Korea,1,1,1,6.62,0,Brief
14775,1,Internet,RoundTrip,61,30,7,2,ICNTRZ,South Korea,1,0,1,6.62,0,Brief
14776,1,Internet,RoundTrip,25,45,5,1,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14777,1,Internet,RoundTrip,40,167,0,2,ICNTRZ,South Korea,1,1,1,6.62,1,Brief
14778,1,Internet,RoundTrip,114,67,15,2,ICNTRZ,India,0,1,1,6.62,0,Brief
14779,1,Internet,RoundTrip,47,28,10,2,ICNTRZ,South Korea,1,0,1,6.62,0,Brief
14780,3,Internet,RoundTrip,36,56,2,5,ICNTRZ,South Korea,1,1,1,6.62,0,Brief
14781,1,Internet,RoundTrip,73,24,13,3,ICNTRZ,South Korea,1,0,1,6.62,0,Brief
14782,1,Internet,RoundTrip,42,32,1,2,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14783,1,Internet,RoundTrip,43,22,7,5,ICNTRZ,South Korea,1,1,1,6.62,0,Brief
14784,1,Internet,RoundTrip,144,26,7,4,ICNTRZ,South Korea,1,1,0,6.62,0,Brief
14785,1,Internet,RoundTrip,16,46,3,4,ICNTRZ,India,1,0,0,6.62,0,Brief
14786,1,Internet,RoundTrip,21,27,12,3,ICNTRZ,South Korea,1,0,1,6.62,0,Brief
14787,3,Internet,RoundTrip,44,23,7,3,ICNTRZ,South Korea,1,1,1,6.62,0,Brief
14788,1,Internet,RoundTrip,15,102,6,4,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14789,1,Internet,RoundTrip,31,26,2,2,ICNTRZ,South Korea,1,1,1,6.62,0,Brief
14790,1,Internet,RoundTrip,41,36,11,1,ICNTRZ,South Korea,1,0,0,6.62,0,Brief
14791,1,Internet,RoundTrip,27,30,16,1,ICNVTZ,India,1,1,1,6.62,0,Brief
14792,1,Internet,RoundTrip,107,24,1,2,ICNVTZ,Japan,0,0,0,6.62,0,Brief
14793,2,Internet,RoundTrip,8,52,6,3,ICNVTZ,South Korea,1,0,0,6.62,1,Brief
14794,1,Internet,RoundTrip,9,19,13,2,ICNVTZ,South Korea,1,0,1,6.62,0,Brief
14795,3,Internet,RoundTrip,133,28,5,2,ICNVTZ,South Korea,1,0,0,6.62,0,Brief
14796,1,Internet,RoundTrip,8,17,2,3,ICNVTZ,South Korea,1,0,0,6.62,0,Brief
14797,1,Internet,RoundTrip,1,19,6,1,ICNVTZ,South Korea,1,1,1,6.62,0,Brief
14798,2,Internet,RoundTrip,59,88,3,4,ICNVTZ,South Korea,0,1,1,6.62,0,Brief
14799,1,Internet,RoundTrip,1,17,10,3,ICNVTZ,South Korea,0,0,0,6.62,0,Brief
14800,1,Internet,RoundTrip,79,19,14,2,ICNVTZ,South Korea,0,0,0,6.62,0,Brief
14801,1,Mobile,RoundTrip,42,40,10,4,IKAKCH,Malaysia,1,0,0,8.15,0,Brief
14802,1,Internet,RoundTrip,28,77,4,4,IKAKIX,Japan,1,0,0,8.15,0,Brief
14803,1,Internet,RoundTrip,52,28,4,1,IKAKIX,Japan,1,0,1,8.15,0,Brief
14804,1,Internet,RoundTrip,7,21,7,2,IKAKIX,Japan,1,0,0,8.15,0,Brief
14805,2,Internet,RoundTrip,13,58,8,1,IKALOP,Indonesia,1,1,0,8.15,0,Brief
14806,2,Internet,RoundTrip,104,22,8,7,IKAMEL,Australia,0,0,0,8.83,0,Brief
14807,1,Internet,RoundTrip,40,19,1,1,IKAMEL,Australia,1,1,0,8.83,0,Brief
14808,1,Internet,RoundTrip,25,53,11,2,IKAMEL,Australia,1,0,1,8.83,0,Brief
14809,1,Internet,OneWay,28,31,14,7,IKAMEL,Australia,0,0,0,8.83,0,Brief
14810,1,Internet,RoundTrip,35,43,6,1,IKAMEL,Australia,1,1,1,8.83,0,Brief
